+Crataegomespilus dardarii
Acaena pallida
Acaena pinnatifida
Acaena platyacantha
Acaena saccaticupula
Acaena sanguisorbae
Acaena sericea
Acaena splendens
Acaena spp.
Acaena trifida
Acaena x anserovina
Acalypha alopecuroidea
Acalypha amentacea
Acalypha aristata
Acalypha aristata
Acalypha arvensis
Acalypha australis
Acalypha berteriana
Acalypha bisetosa
Acalypha brachystachya
Acalypha californica
Acalypha caroliniana
Acalypha chamaedrifolia
Acalypha chamaedryfolia
Acalypha communis
Acalypha deamii
Acalypha fruticosa
Acalypha godseffiana
Acalypha gracilens
Acalypha havanensis
Acalypha hederacea
Acalypha herzogiana
Acalypha hispida
Acalypha indica
Acalypha indica
Acalypha infesta
Acalypha lanceolata
Acalypha lindheimeri
Acalypha mexicana
Acalypha monococca
Acalypha monostachya
Acalypha neomexicana
Acalypha ostryifolia
Acalypha pendula
Acalypha phleoides
Acalypha poiretii
Acalypha portoricensis
Acalypha pringlei
Acalypha radians
Acalypha rhomboidea
Acalypha scandens
Acalypha setosa
Acalypha siamensis
Acalypha spp.
Acalypha subviscida
Acalypha virginica
Acalypha wilkesiana
Acampe spp.
Acamptoclados sessilispicus
Acamptopappus shockleyi
Acamptopappus sphaerocephalus
Acamptopappus sphaerocephalus
Acanthephippium papuanum
Acanthephippium spp.
Acanthocalycium glaucum
Acanthocalycium leucanthum
Acanthocalycium spiniflorum
Acanthocalycium spp.
Acanthocalycium thionanthum
Acanthocarpus preissii
Acanthocarpus spp.
Acanthocephalus spp.
Acanthocereus floridanus
Acanthocereus hirschtianus
Acanthocereus pentagonus
Acanthocereus spp.
Acanthocereus tetragonus
Acanthochiton wrightii
Acanthochlamys spp.
Acanthocladium carlottae
Acanthocladus brasiliensis
Acanthogonum corrugatum
Acanthogonum polygonoides
Acanthogonum rigidum
Acantholimon alberti
Acantholimon armenum
Acantholimon aulieatense
Acantholimon avenaceum
Acantholimon caryophyllaceum
Acantholimon glumaceum
Acantholimon hohenackeri
Acantholimon kotschyi
Acantholimon litvinovii
Acantholimon lycaonicum
Acantholimon olivieri
