+Crataegomespilus dardarii
Mariscus sandwicensis
Masdevallia coriacea
Matucana comacephala
Meconopsis aculeata
Medicago rigida
Meibomia cubensis
Melaleuca megacephala
Melanelia subolivacea
Melica bella
Melicope puberula
Melochia nodiflora
Mentha x smithiana
Menyanthes spp.
Mesembryanthemum speciosum
Mezilaurus itauba
Micrandra minor
Microlepia speluncae
Microthelia metzleri
Mimosa adpressa
Mimosa pseudoradula
Mimulus dudleyi
Mimulus puberulus
Minuopsis caroliniana
Miscanthus ×giganteus
Mnium venustum
Monarda stipitatoglandulosa
Monopyle macrocarpa
Moraea huttonii
Morus radulina
Muhlenbergia cenchroides
Mulguraea aspera
Musa thomsonii
Mycocalicium compressulum
Myrcia atramentifera
Myriopus volubilis
Myrtus cordata
Nananthus spathulatus
Nassella leucotricha
Neckera gracilis
Nemacladus secundiflorus
Neoglaziovia concolor
Nepenthes alata
Nepenthes mikei
Nephelea pubescens
Nerium oleander
Nicotiana longiflora
Niobe japonica
Nothofagus dombeyi
Nuttallanthus canadensis
Nymphaea togoensis
Ocellularia concolor
Ocimum basilicum
Odostemon dictyota
Oenothera demareei
Oenothera platanorum
Olea chrysophylla
Oligosporus campestris
Oncophorus wahlenbergii
Ononis natrix
Operculicarya hyphaenoides
Opuntia abysii
Opuntia emoryi
Opuntia strigil
Orcuttia viscida
Origanum spp.
Orobanche aegyptiaca
Orobanche solmsii
Orthotrichum exiguum
Osbeckia chinensis
Ostrya carpinifolia
Oxalis drummondii
Oxybaphus nyctagineus
Oxytropis foliolosa
Pachycereus pringlei
Packera obovata
Palaquium microphyllum
Pandanus patina
Panicum consanguineum
Panicum lassenianum
Panicum plenum
Panicum xalapense
Paphiopedilum callosum
Paraleucobryum enerve
Parkia africana
Parmelia finkii
Parmelia revoluta
Parmeliopsis halei
Paronychia franciscana
Paspalum auriculatum
Paspalum paniculatum
Passiflora coriacea
Passiflora trifoliata
Pavonia racemosa
Pedicularis capitata
Pediocactus paradinei
Pelargonium erlangerianum
Pelargonium ternifolium
Pelea rotundifolia
Peltigera pacifica
Penstemon alpinus
Penstemon glandulosus
Penstemon perpulcher
Pentachaeta exilis
Peperomia haupuensis
Peramium menziesii
Perityle congesta
Persicaria kawagoeana
Pertusaria macounii
Petalostemon purpureus
Peucedanum altissimum
Phacelia franklinii
Phacelia scopulina
Phaeosporobolus alpinus
Phalaris stenoptera
Phaseolus montanus
Phelipanche purpurea
Philadelphus x lemoinei
Philonotis arnellii
Phlomis spectabilis
Phlox vermejoensis
Phormium tenax
Phyllanthus emblica
Phyllostachys henionis
Physalis ciliosa
Physaria kaibabensis
Physcia phaea
Phytelephas aequatorialis
Pictetia aculeata
Pimelea microcephala
Pinus cembra
Pinus x schwerinii
Piperia lancifolia
Piscidia mollis
Pittosporum cladanthum
Placynthium dubium
Plagiomnium carolinianum
Plantago hybrida
Platanthera ×correllii
Platypodium elegans
Pleiospermium latialatum
Pleurotheliopsis nana
Poa astonii
Poa languida
Poa tenerrima
Podophyllum glaucescens
Pohlia schimperi
Pollichia campestris
Polygala crucianelloides
Polygonatum macropodum
Polygonum heterosepalum
Polymeridium albocinereum
Polypogon interruptus
Polytaenia albiflora
Populus angustifolia
Porella bolanderi
Portlandia harrisii
Potamogeton pulcher
Potentilla cinerea
Potentilla pacifica
Pottia fosbergii
Premna spp.
Primula hendersonii
Prinsepia uniflora
Prosopis articulata
Protoblastenia rupestris
Prunus himalaica
Prunus turcomanica
Pseuderanthemum fasciculatum
Pseudoleskea arizonae
Pseudosmodingium spp.
Psilochenia pleurocarpa
Psoralea macrostachya
Psychotria hombroniana
Pteris spinescens
Pterygota bequaertii
Puccinellia howellii
Pultenaea ochreata
Pycreus flavidus
Pyrenula cruenta
Pyrrhospora cinnabarina
Pyrus x michauxii
Quercus congesta
Quercus nuttallii
Quercus ×atlantica
Quercus ×venulosa
Raillardella minima
Ramischia secunda
Ranunculus hexasepalus
Ranzania japonica
Rebutia steinbachii
Reynoldsia venusta
Rhaphidophora foraminifera
Rhexia mariana
Rhizocarpon montagnei
Rhododendron anagalliflorum
Rhododendron fallacinum
Rhododendron morii
Rhododendron taliense
Rhus choriophylla
Rhynchosia longeracemosa
Rhynchospora fernaldii
Rhynchostegium subintegrifolium
Ribes longeracemosum
Riccardia latifrons
Rinodina ascociscana
Rinodina vegasii
Roeperocharis spp.
Rorippa sylvestris
Rosa lucieae
Rosa virginiana
Rottboellia repens
Rubus amnicola
Rubus canaanensis
Rubus eastwoodianus
Rubus groutianus
Rubus leightonii
Rubus obvius
Rubus pseudosieboldii
Rubus slesvicensis
Rubus wahlbergii
Ruellia graecizans
Rumex kerneri
Ruschia rubricaulis
Sabatia kennedyana
Sachsia polycephala
Sagotia triflora
Salix barclayi
Salix gilgiana
Salix neowilsonii
Salix squamata
Salix ×dieckiana
Salvia aurea
Salvia microphylla
Salvinia cucullata
Sanicula europaea
Sapindus drummondii
Sarcophyte sanguinea
Sasa senanensis
Savia clusiifolia
Saxifraga radiata
Scalesia villosa
Schenkia spicata
Schistidium cinclidodonteum
Schlegelia brachyantha
Schoenoplectus ×oblongatus
Scirpoides holoschoenus
Scirpus pedicellatus
Scleria racemosa
Scolosanthus portoricensis
Scutellaria angustifolia
Sebastiania corniculata
Sedum lineare
Selaginella caulescens
Selenicereus spinulosus
Senecio balsamitae
Senecio hartianus
Senecio pterophorus
Senegalia chundra
Senna ligustrina
Serjania brachycarpa
Sesbania spp.
Setaria pradana
Shortia soldanelloides
Sida javensis
Sideritis discolor
Silene baldwinii
Silene petersonii
Silphium trilobatum
Sisymbrium curvisiliqua
Sisyrinchium montanum
Smilax excelsa
Solanum acerifolium
Solanum chomatophilum
Solanum gracile
Solanum malindiense
Solanum pseudocapsicum
Solanum tobagense
Solidago caesia
Solidago odora
Solorinaria despreauxii
Sorbus forrestii
Sorghum virgatum
Spathiphyllum maguirei
Spermacoce remota
Sphagneticola gracilis
Sphenomeris chinensis
Spiraea micrantha
Spirodela polyrrhiza
Sporobolus mitchellii
Stachys floridana
Stanleya pinnata
Stelestylis surinamensis
Stemonurus secundiflorus
Stenomesson leucantha
Sterculia quadrifida
Stevia salicifolia
Stipa bungeana
Stipa splendens
Streptanthus glandulosus
Strigula americana
Struthiopteris polypodioides
Stylosanthes gracilis
Suaeda occidentalis
Swartzia glazioviana
Syagrus glaucescens
Symphyotrichum lateriflorum
Symplocos polyantha
Syringa palibiniana
Tabebuia argentea
Tagetes apetala
Tamala humilis
Tarasa tenella
Tasmannia lanceolata
Tecticornia pterygosperma
Tephrosia constricta
Tephrosia vestita
Tessaria sericea
Tetraneuris mancosensis
Teucrium nashii
