Manihot esculenta
Manilkara bidentata
Manilkara zapota
Marcgravia rectiflora
Marsilea ancylopoda
Marsupella sphacelata
Mastigophora woodsii
Matelea reticulata
Maurandella antirrhiniflora
Mayaca fluviatilis
Medicago lupulina
Medicago polymorpha
Medicago sativa
Medicago scutellata
Medusanthera laxiflora
Meesia longiseta
Megaceros aenigmaticus
Melanomma oxysporum
Melaspilea epigena
Melia azedarach
Melianthus major
Melica bulbosa
Melica californica
Melica imperfecta
Melica spectabilis
Melica subulata
Melicoccus bijugatus
Melicope christophersenii
Melicope pseudoanisata
Melilotus indicus
Melilotus officinalis
Meliosma herbertii
Menodora scabra
Mentha arvensis
Mentzelia decapetala
Mentzelia multiflora
Menyanthes trifoliata
Mertensia bella
Mertensia ciliata
Mertensia virginica
Mesoptychia sahlbergii
Metasequoia glyptostroboides
Metrosideros polymorpha
Miconia serrulata
Microcalicium disseminatum
Microlychnus epicorticis
Microseris nutans
Mikania scandens
Mimosa aculeaticarpa
Mimosa microphylla
Mimulus alatus
Mimulus brevipes
Mimulus cardinalis
Mimulus dentatus
Mimulus guttatus
Mimulus nanus
Mimulus nudatus
Mimulus primuloides
Mimulus pygmaeus
Mimulus suksdorfii
Mimulus tilingii
Mirabilis linearis
Mirabilis multiflora
Miscanthus sinensis
Moerckia blyttii
Mollugo cerviana
Monarda fistulosa
Monarda maritima
Monardella douglasii
Monardella exilis
Monolepis nuttalliana
Monotropa hypopitys
Morella californica
Morella caroliniensis
Morella cerifera
Morella inodora
Morella pensylvanica
Morinda citrifolia
Moringa oleifera
Morus alba
Morus rubra
Muhlenbergia asperifolia
Muhlenbergia capillaris
Muhlenbergia cuspidata
Muhlenbergia filipes
Muhlenbergia frondosa
Muhlenbergia glomerata
Muhlenbergia mexicana
Muhlenbergia montana
Muhlenbergia polycaulis
Muhlenbergia porteri
Muhlenbergia pungens
Muhlenbergia racemosa
Muhlenbergia repens
Muhlenbergia richardsonis
Muhlenbergia rigens
Muhlenbergia schreberi
Muhlenbergia sylvatica
Muhlenbergia uniflora
Muhlenbergia wrightii
Multiclavula coronilla
Murdannia keisak
Mycoporum acervatum
Myoporum boninense
Myoporum sandwicense
Myosotis scorpioides
Myosurus apetalus
Myosurus minimus
Myrica gale
Myrosma cannifolia
Myxotrichum bicolor
Najas flexilis
Najas guadalupensis
Najas minor
Nama sandwicense
Nandina domestica
Nanostictis pseudocyphellariae
Nanozostera japonica
Nassella cernua
Nassella lepida
Nassella pulchra
Nassella viridula
Nectandra coriacea
Nectria lecanodes
Nekemias arborea
Nelumbo lutea
Nemophila heterophylla
Nemophila maculata
Neonotonia wightii
Nephroma bellum
Nephrophyllidium crista-galli
Nerium oleander
Nestegis sandwicensis
Niebla caespitosa
Nitrophila occidentalis
Nolina microcarpa
Notholithocarpus densiflorus
Notothylas orbicularis
Nuphar lutea
Nymphaea ampla
Nymphaea mexicana
Nyssa aquatica
Nyssa biflora
Nyssa ogeche
Nyssa sylvatica
Ochna thomasiana
Ochrolechia africana
Ochrolechia tartarea
Ocotea floribunda
Ocotea leucoxylon
Ocotea moschata
Ocotea spathulata
Odontoschisma sphagni
Odontostomum hartwegii
Oedipodium griffithianum
Oemleria cerasiformis
Oenothera biennis
Oenothera caespitosa
Oenothera elata
Oenothera flava
Oenothera fruticosa
Oenothera pallida
Oenothera pilosella
Oligoneuron rigidum
Olneya tesota
Olsynium douglasii
Omphalina alpina
Omphalodes linifolia
Onobrychis viciifolia
Ophioparma rubricosa
Opuntia dillenii
Opuntia ficus-indica
Opuntia polyacantha
Orbexilum macrophyllum
Orthocarpus luteus
Orthocarpus tenuifolius
Orthosiphon aristatus
Orthothecium acuminatum
Osmanthus heterophyllus
Osmorhiza depauperata
Osmorhiza occidentalis
Osmunda cinnamomea
Osmunda claytoniana
Osmunda regalis
Osteomeles anthyllidifolia
Ostrya virginiana
Oxalis albicans
Oxydendrum arboreum
Oxymitra incrassata
Oxyria digyna
Oxytheca parishii
Oxytropis arctica
Oxytropis lambertii
Oxytropis splendens
Pachysandra terminalis
Packera aurea
Packera cana
Packera glabella
Packera tomentosa
Packera tridenticulata
Paeonia brownii
Pandanus tectorius
Panicum amarum
Panicum anceps
Panicum antidotale
Panicum coloratum
Panicum dichotomiflorum
Panicum hemitomon
Panicum miliaceum
Panicum obtusum
Panicum rigidulum
Panicum stenodes
Panicum virgatum
Papaver gorodkovii
Papillaria nigrescens
Parietaria pensylvanica
Parmelia pseudosulcata
Parnassia fimbriata
Parnassia palustris
Paronychia echinulata
Paronychia monticola
Parthenocissus quinquefolia
Parthenocissus tricuspidata
Pascopyrum smithii
Paspalum conjugatum
Paspalum denticulatum
Paspalum dilatatum
Paspalum distichum
Paspalum fluitans
Paspalum hieronymi
Paspalum laeve
Paspalum nicorae
Paspalum plicatulum
Paspalum vaginatum
Paspalum virletii
Passiflora lutea
Passiflora violacea
Paulownia tomentosa
Pectis angustifolia
Pectis prostrata
Pedicularis canadensis
Pedicularis capitata
Pedicularis groenlandica
Pedicularis verticillata
Pedinophyllum interruptum
Pellia appalachiana
Peltandra virginica
Peltigera cinnamomea
Peltolepis grandis
Peltula patellata
Pennisetum alopecuroides
Pennisetum ciliare
Pennisetum flaccidum
Pennisetum glaucum
Pennisetum purpureum
Pennisetum setaceum
Penstemon acuminatus
Penstemon albertinus
Penstemon angustifolius
Penstemon confertus
Penstemon cyananthus
