+Crataegomespilus dardarii
Acanthochlamys spp.
Acanthocladium carlottae
Acanthocladus brasiliensis
Acanthogonum corrugatum
Acanthogonum polygonoides
Acanthogonum rigidum
Acantholimon alberti
Acantholimon armenum
Acantholimon aulieatense
Acantholimon avenaceum
Acantholimon caryophyllaceum
Acantholimon glumaceum
Acantholimon hohenackeri
Acantholimon kotschyi
Acantholimon litvinovii
Acantholimon lycaonicum
Acantholimon olivieri
Acantholimon puberulum
Acantholimon saxifragiforme
Acantholimon spp.
Acantholimon tenuiflorum
Acantholimon trojanum
Acantholimon ulicinum
Acantholimon venustum
Acanthopanax senticosus
Acanthopanax sieboldianus
Acanthophoenix rousselii
Acanthophoenix rubra
Acanthophoenix spp.
Acanthophyllum cerastioides
Acanthophyllum pungens
Acanthophyllum spp.
Acanthoscyphus parishii
Acanthosicyos horridus
Acanthosicyos spp.
Acanthospermum glabratum
Acanthospermum microcarpum
Acanthospermum spp.
Acanthospermum xanthioides
Acanthostachys spp.
Acanthostyles buniifolius
Acanthosyris spinescens
Acanthosyris spp.
Acanthoxanthium spinosum
Acanthus arboreus
Acanthus dioscoridis
Acanthus eminens
Acanthus hybr.
Acanthus ilicifolius
Acanthus longifolius
Acanthus montanus
Acanthus pubescens
Acanthus spp.
Acarospora albida
Acarospora amabilis
Acarospora amphibola
Acarospora arenacea
Acarospora arenosa
Acarospora bella
Acarospora boulderensis
Acarospora canadensis
Acarospora cartilaginea
Acarospora chlorophana
Acarospora chrysops
Acarospora citrina
Acarospora clauzadeana
Acarospora dispersa
Acarospora dissipata
Acarospora epilutescens
Acarospora erythrophora
Acarospora evoluta
Acarospora flava
Acarospora geophila
Acarospora glebosa
Acarospora hassei
Acarospora heppii
Acarospora heufleriana
Acarospora immersa
Acarospora incertula
Acarospora intercedens
Acarospora lapponica
Acarospora molybdina
Acarospora montana
Acarospora novomexicana
Acarospora obscura
Acarospora ocellata
Acarospora oxytona
Acarospora particularis
Acarospora reagens
Acarospora rhabarbarina
Acarospora rimulosa
Acarospora rubicunda
Acarospora rugulosa
Acarospora saxicola
Acarospora scabra
Acarospora scabrida
Acarospora smaragdula
Acarospora squamulosa
Acarospora squamulosa
Acarospora stenospora
Acarospora subalbida
Acarospora subcontigua
Acarospora subfuscescens
Acarospora terricola
Acarospora texana
Acarospora tongleti
Acarospora variegata
Acarospora weldensis
Acarospora xanthophana
Acaulon megalosporum
Acaulon rubrum
Acaulon rufescens
Acaulon runyoni
Acca macrostema
Acca sellowiana
Acca spp.
Acer acuminatum
Acer argutum
Acer barbatum
Acer barbinerve
Acer brachypterum
Acer caesium
Acer calcaratum
Acer campbellii
Acer capillipes
Acer cappadocicum
Acer carolinianum
Acer carpinifolium
Acer caudatifolium
Acer caudatum
Acer ceriferum
Acer chapaense
Acer cordatum
Acer crataegifolium
Acer dasycarpum
Acer davidii
Acer diffusum
Acer distylum
Acer douglasii
Acer drummondii
Acer duplicatoserratum
Acer elegantulum
Acer erianthum
Acer fabri
Acer heldreichii
Acer henryi
Acer hybr.
Acer hyrcanum
Acer interius
Acer laevigatum
Acer laurinum
Acer leucoderme
Acer lobelii
Acer longipes
Acer lucidum
Acer mandshuricum
Acer maximowiczianum
Acer micranthum
Acer miyabei
Acer monspessulanum
Acer neomexicanum
Acer nipponicum
Acer oblongum
Acer obtusatum
Acer okamotoanum
Acer oliverianum
Acer osmastonii
Acer pauciflorum
Acer paxii
Acer pectinatum
Acer pentaphyllum
Acer pentapomicum
Acer pictum
Acer pseudosieboldianum
Acer pubinerve
Acer pubipalmatum
Acer pycnanthum
Acer robustum
Acer rubescens
Acer rufinerve
Acer sempervirens
Acer shirasawanum
Acer sieboldianum
Acer sikkimense
Acer sino-oblongum
Acer sinuosum
Acer sosnowskyi
Acer spp.
Acer stachyophyllum
Acer stenocarpum
Acer sterculiaceum
Acer sutchuenense
Acer tegmentosum
Acer tenuifolium
Acer torreyi
Acer triflorum
Acer tripartitum
Acer truncatum
Acer tschonoskii
Acer tsinglingense
Acer ukurunduense
Acer velutinum
Acer wardii
Acer wuyuanense
Acer x boscii
Acer x coriaceum
Acer x freemanii
Acer x hillieri
Acer x hybridum
Acer x rotundilobum
Acer x schwerinii
Acer x zoeschense
Acerates angustifolia
Acerates auriculata
Acerates delticola
Acerates floridana
Acerates hirtella
Acerates lanuginosa
Acerates longifolia
Acerates viridiflora
Aceratium ledermannii
Aceratorchis spp.
Acetosa alpestris
Acetosa gracilescens
Acetosa lapponica
Acetosella acetosella
Acetosella corniculata
Acetosella graminifolia
Acetosella paucifolia
Acetosella vulgaris
Achaetogeron chihuahuensis
Achaetogeron versicolor
Acharagma aguirreanum
Acharagma roseanum
Acharagma spp.
Acharia spp.
Acharia tragodes
Achatocarpus nigricans
Achatocarpus pubescens
Achatocarpus spp.
Achillea aegyptiaca
Achillea ageratifolia
Achillea angustissima
Achillea arenicola
Achillea asiatica
Achillea aspleniifolia
Achillea atrata
Achillea biebersteinii
Achillea biserrata
Achillea californica
Achillea cartilaginea
Achillea chrysocoma
Achillea clusiana
Achillea collina
Achillea conferta
Achillea cretica
Achillea eradiata
Achillea falcata
Achillea fragrantissima
Achillea fusca
Achillea gigantea
Achillea gracilis
Achillea grandifolia
Achillea hybr.
Achillea laxiflora
Achillea leptophylla
Achillea lingulata
Achillea macrocephala
Achillea magnifica
Achillea multiflora
Achillea nana
Achillea nigrescens
Achillea occidentalis
Achillea odorata
Achillea pacifica
Achillea pratensis
Achillea pseudopectinata
Achillea ptarmicifolia
Achillea puberula
Achillea rosea
Achillea roseoalba
Achillea rupestris
Achillea salicifolia
Achillea santolina
Achillea sibirica
Achillea spp.
Achillea styriaca
Achillea subalpina
Achillea tanacetifolia
Achillea taygetea
Achillea tenuifolia
Achillea umbellata
Achillea vermicularis
Achillea x kellereri
Achillea x lewisii
Achillea x wilczekiana
Achimenes candida
Achimenes erecta
Achimenes grandiflora
Achimenes longiflora
Achimenes spp.
Achlaena spp.
Achlydosa spp.
Achlys spp.
Achnatherum brachychaetum
Achnatherum brandisii
Achnatherum bromoides
Achnatherum calamagrostis
Achnatherum caragana
Achnatherum caudatum
Achnatherum clandestinum
Achnatherum coronatum
Achnatherum curvifolium
Achnatherum diegoense
Achnatherum duthiei
Achnatherum eminens
Achnatherum hendersonii
Achnatherum inebrians
Achnatherum jacquemontii
Achnatherum latiglume
Achnatherum lemmonii
Achnatherum lobatum
Achnatherum nelsonii
Achnatherum nevadense
Achnatherum occidentale
Achnatherum papposum
Achnatherum parishii
Achnatherum perplexum
Achnatherum pinetorum
Achnatherum richardsonii
Achnatherum scribneri
Achnatherum sibiricum
Achnatherum splendens
Achnatherum spp.
Achnatherum stillmanii
Achnatherum swallenii
Achnatherum wallowaense
Achnatherum wallowaensis
Achnatherum webberi
Achnatherum ×bloomeri
Achras emarginata
Achras zapota
Achroschizocarpus kolianus
Achyranthes altissima
Achyranthes aspera
Achyranthes bettzichiana
Achyranthes brasiliana
Achyranthes canescens
Achyranthes fauriei
Achyranthes ficoidea
Achyranthes indica
Achyranthes leiantha
Achyranthes longifolia
Achyranthes maritima
Achyranthes nelsonii
Achyranthes paronychioides
Achyranthes peploides
Achyranthes philoxeroides
Achyranthes portoricensis
Achyranthes prostrata
Achyranthes ramosissima
Achyranthes repens
Achyranthes sessilis
Achyranthes spp.
Achyrocline alata
Achyrocline saturejoides
Achyrocline spp.
Achyrophorus roseus
Achyrospermum spp.
Aciachne spp.
Acianthera inaequalis
Acianthera recurva
Acianthus spp.
Acicarpha spathulata
Acidanthera bicolor
Acidocroton spp.
Acidosasa nanunica
Acidosasa notata
Acidosasa venusta
Acidoton urens
Acineta antioquiae
Acineta spp.
Acineta superba
Acinos spp.
Acinos thymoides
Acioa edulis
Aciotis rubricaulis
Aciphylla aurea
Aciphylla colensoi
Aciphylla congesta
Aciphylla crosby-smithii
Aciphylla dieffenbachii
Aciphylla dobsonii
Aciphylla glaucescens
Aciphylla kirkii
Aciphylla lecomtei
Aciphylla pinnatifida
Aciphylla scott-thomsonii
Aciphylla spp.
Aciphylla squarrosa
Aciphylla subflabellata
Acis autumnalis
Acis fabrei
Acis nicaeensis
Acis rosea
Acis spp.
Acis tingitana
Acis trichophyllum
Acis valentina
Acisanthera acisanthera
Acisanthera spp.
Ackama rosifolia
Acleisanthes berlandieri
Acleisanthes greggii
Acleisanthes spp.
Acmadenia tetragona
Acmella alba
Acmella calva
Acmella grandiflora
Acmella oleracea
Acmella oppositifolia
Acmella paniculata
Acmella pusilla
Acmella radicans
Acmella sodiroi
Acmella spp.
Acmispon americanus
Acmispon argophyllus
Acmispon argyraeus
Acmispon brachycarpus
Acmispon cytisoides
Acmispon decumbens
Acmispon dendroideus
Acmispon denticulatus
Acmispon glaber
Acmispon grandiflorus
Acmispon greenei
Acmispon haydonii
Acmispon heermannii
Acmispon helleri
Acmispon intricatus
Acmispon junceus
Acmispon maritimus
Acmispon mearnsii
Acmispon micranthus
Acmispon oroboides
Acmispon parviflorus
Acmispon procumbens
Acmispon prostratus
Acmispon rigidus
Acmispon rubriflorus
Acmispon spp.
Acmispon strigosus
Acmispon subpinnatus
Acmispon utahensis
Acmispon wrangelianus
Acmispon wrightii
Acmopyle pancheri
Acmopyle spp.
Acnida alabamensis
Acnida altissima
Acnida australis
Acnida concatenata
Acnida cuspidata
Acnida floridana
Acnida subnuda
Acnida tamariscina
Acnida tuberculata
Acoelorrhaphe arborescens
Acokanthera laevigata
Acokanthera oblongifolia
Acokanthera oppositifolia
Acokanthera rotundata
Acokanthera schimperi
Acokanthera spp.
Acomastylis calthifolia
Acomastylis macrantha
Acomastylis peckii
Acomastylis radiata
Acomastylis rossii
Acomis spp.
Aconitum alboviolaceum
Aconitum baicalense
Aconitum barbatum
Aconitum bisma
Aconitum brachypodum
Aconitum coreanum
Aconitum degenii
Aconitum delavayi
Aconitum delphiniifolium
Aconitum falconeri
Aconitum firmum
Aconitum forrestii
Aconitum geranioides
Aconitum gymnandrum
Aconitum hansenii
Aconitum hemsleyanum
Aconitum henryi
Aconitum heterophyllum
Aconitum howellii
Aconitum hybr.
Aconitum jaluense
Aconitum japonicum
Aconitum jeholense
Aconitum kusnezoffii
Aconitum lasiostomum
Aconitum leibergii
Aconitum mogollonicum
Aconitum nagarum
Aconitum nasutum
Aconitum novoluridum
Aconitum orientale
Aconitum pendulum
Aconitum sachalinense
Aconitum scaposum
Aconitum senanense
Aconitum sinomontanum
Aconitum soongaricum
Aconitum spicatum
Aconitum spp.
Aconitum sungpanense
Aconitum tauricum
Aconitum triphyllum
Aconitum tsaii
Aconitum vilmorinianum
Aconitum viviparum
Aconitum volubile
Aconitum x cammarum
Aconitum x fusungense
Aconitum x tokii
Aconitum yuparense
Aconogonum alaskanum
Aconogonum alpinum
Aconogonum davisiae
Aconogonum hultenianum
Aconogonum newberryi
Aconogonum phytolaccifolium
Aconogonum polystachyum
Acorus calamus
Acorus spp.
Acosmium cardenasii
Acosmium lentiscifolium
Acosmium spp.
Acosta diffusa
Acosta maculosa
Acostia spp.
Acourtia formosa
Acrachne spp.
Acradenia spp.
Acridocarpus spp.
Acriopsis indica
Acriopsis liliifolia
Acriopsis spp.
Acrisione denticulata
Acrobolbus ciliatus
Acrocarpus fraxinifolius
Acrocarpus spp.
Acroceras munroanum
Acroceras oryzoides
Acroceras spp.
Acroceras zizanioides
Acrocladium cordifolium
Acrocladium cuspidatum
Acroclinium roseum
Acrocomia aculeata
Acrocomia intumescens
Acrocomia spp.
Acrodiclidium salicifolium
Acrolasia albicaulis
Acrolasia desertorum
Acrolasia dispersa
Acrolasia gracilis
Acrolasia humilis
Acrolasia montana
Acrolasia thompsonii
Acrolejeunea heterophylla
Acrolophia spp.
Acronychia acidula
Acronychia heterophylla
Acronychia imperforata
Acronychia laevis
Acronychia oblongifolia
Acronychia pedunculata
Acronychia spp.
Acronychia wilcoxiana
Acropogon bullatus
Acropogon spp.
Acrorchis spp.
Acrospelion distichophyllum
Acrostichum auriculatum
Acrostichum excelsum
Acrostichum longifolium
Acrostichum spp.
Acrothamnus montanus
Acrothamnus spp.
Acrotome inflata
Acrotome spp.
Acrotrema spp.
Acrotriche depressa
Acrotriche spp.
Actaea alba
Actaea arguta
Actaea asiatica
Actaea cimicifuga
Actaea cordifolia
Actaea dahurica
Actaea europaea
Actaea heracleifolia
Actaea japonica
Actaea simplex
Actaea spp.
Actaea vaginata
Actephila excelsa
Actinanthella spp.
Actinea acaulis
Actinea canescens
Actinea cooperi
Actinea grandiflora
Actinea herbacea
Actinea richardsonii
Actinea vaseyi
Actinella acaulis
Actinella argentea
Actinidia callosa
Actinidia chengkouensis
Actinidia chrysantha
Actinidia cylindrica
Actinidia deliciosa
Actinidia eriantha
Actinidia farinosa
Actinidia fasciculoides
Actinidia fortunatii
Actinidia fulvicoma
Actinidia glaucocallosa
Actinidia grandiflora
Actinidia hemsleyana
Actinidia henryi
Actinidia holotricha
Actinidia hubeiensis
Actinidia hybr.
Actinidia indochinensis
Actinidia kolomikta
Actinidia laevissima
Actinidia lanceolata
Actinidia latifolia
Actinidia liangguangensis
Actinidia lijiangensis
Actinidia macrosperma
Actinidia melanandra
