Abelia ×grandiflora
Ceanothus velutinus
Ceanothus ×flexilis
Cecropia schreberiana
Cedrela odorata
Cedrus deodara
Ceiba pentandra
Celastrus orbiculatus
Celastrus scandens
Celothelium aciculiferum
Celtis ehrenbergiana
Celtis laevigata
Celtis occidentalis
Cenchrus tribuloides
Centaurea uniflora
Centaurium exaltatum
Centranthus ruber
Cephalanthus occidentalis
Cephalaria gigantea
Cephalozia affinis
Cephaloziella arctogena
Cerastium arvense
Cerastium beeringianum
Ceratodon purpureus
Ceratophyllum demersum
Ceratopteris gaudichaudii
Cercidiphyllum japonicum
Cercis canadensis
Cercocarpus ledifolius
Cercocarpus montanus
Chaenactis douglasii
Chaenomeles japonica
Chaenotheca brunneola
Chaenotheca gracillima
Chaenothecopsis norstictica
Chamaebatiaria millefolium
Chamaecrista fasciculata
Chamaecrista nictitans
Chamaecyparis lawsoniana
Chamaecyparis thyoides
Chamaedaphne calyculata
Chamaesyce albomarginata
Chamaesyce degeneri
Chamaesyce thymifolia
Chamerion angustifolium
Chasmanthium latifolium
Chasmanthium laxum
Chasmanthium sessiliflorum
Chenopodium rubrum
Chilopsis linearis
Chiloscyphus gemmiparus
Chimaphila umbellata
Chionanthus axilliflorus
Chionanthus virginicus
Chionosphaera apobasidialis
Chloris gayana
Choisya dumosa
Chonecolea doellingeri
Chrysobalanus icaco
Chrysolepis chrysophylla
Chrysolepis sempervirens
Chrysophyllum argenteum
Chrysopsis texana
Chrysothamnus viscidiflorus
Chrysothrix candelaris
Cibotium chamissoi
Cibotium glaucum
Cichorium intybus
Cicuta douglasii
Cicuta maculata
Cinna arundinacea
Cinna latifolia
Circaea alpina
Cirsium foliosum
Cirsium hydrophilum
Cirsium rhothophilum
Cistanthe ambigua
Cistus incanus
Citharexylum spinosum
Citrus ×paradisi
Citrus ×sinensis
Cladina arbuscula
Cladium mariscus
Cladonia apodocarpa
Cladonia pulvinella
Cladrastis kentukea
Clarkia gracilis
Clarkia pulchella
Clasmatodon parvulus
Clathroporina isidiifera
Clauzadea monticola
Clauzadeana macula
Claytonia perfoliata
Claytonia sibirica
Clematis ligusticifolia
Clematis viorna
Clematis virginiana
Cleome isomeris
Cleome lutea
Cleome platycarpa
Cleome serrulata
Clermontia hawaiiensis
Clermontia waimeae
Clethra alnifolia
