Abelia ×grandiflora
Syringa vulgaris
Syzygium cumini
Syzygium grande
Syzygospora bachmannii
Tabebuia heterophylla
Tacca leontopetaloides
Taeniatherum caput-medusae
Takakia ceratophylla
Tamarindus indica
Tamarix aphylla
Tapellaria epiphylla
Taraxacum officinale
Taxodium ascendens
Taxodium distichum
Taxus baccata
Taxus brevifolia
Taxus canadensis
Taxus cuspidata
Taxus ×media
Tecoma stans
Tephrosia chrysophylla
Terminalia catappa
Tetradymia canescens
Tetradymia glabrata
Tetradymia spinosa
Tetrodontium brownianum
Teucrium canadense
Thamnosma montana
Thelia lescurii
Thelypodiopsis aurea
Thelypteris dentata
Thelypteris noveboracensis
Thelypteris rupi-insularis
Thespesia grandiflora
Thespesia populnea
Thinopyrum intermedium
Thinopyrum ponticum
Thrombium mongolicum
Thuja occidentalis
Thuja plicata
Tilia americana
Tilia cordata
Tillandsia usneoides
Timmia megapolitana
Tiquilia nuttallii
Torreya taxifolia
Tortula subulata
Toxicodendron pubescens
Trachelospermum jasminoides
Tradescantia virginiana
Tragopogon dubius
Tragopogon porrifolius
Tragopogon pratensis
Trapa natans
Trema micrantha
Tremella cetrariicola
Trichilia hirta
Trichilia pallida
Trichocolea tomentella
Trichocoronis rivularis
Trichophorum cespitosum
Trichophorum pumilum
Trichostema laxum
Trichostomopsis australasiae
Trichostomum arcticum
Tridens flavus
Tridens strictus
Trifolium alexandrinum
Trifolium ambiguum
Trifolium amoenum
Trifolium fragiferum
Trifolium hirtum
Trifolium hybridum
Trifolium incarnatum
Trifolium longipes
Trifolium macrocephalum
Trifolium nigrescens
Trifolium pratense
Trifolium repens
Trifolium subterraneum
Trifolium vesiculosum
Trifolium wormskioldii
Triphysaria floribunda
Tripsacum dactyloides
Trisetum canescens
Trisetum spicatum
Trisetum wolfii
Tristiropsis acutangula
Triteleia grandiflora
Triticum aestivum
Tsuga canadensis
Tsuga caroliniana
Tsuga heterophylla
Tsuga mertensiana
Turpinia occidentalis
Typha angustifolia
Typha latifolia
Typha ×bethulona
Ulmus alata
Ulmus americana
Ulmus crassifolia
Ulmus parvifolia
Ulmus pumila
Ulmus rubra
Ulmus serotina
Ulmus thomasii
Ulva clathratioides
Umbellularia californica
Uniola paniculata
Urochloa brizantha
Urochloa maxima
Urochloa mutica
Urochloa platyphylla
Urochloa ramosa
Usnea hirta
Utricularia amethystina
Utricularia minor
Vaccinium angustifolium
Vaccinium arboreum
Vaccinium cespitosum
Vaccinium corymbosum
Vaccinium elliottii
Vaccinium membranaceum
Vaccinium ovalifolium
Vaccinium ovatum
Vaccinium parvifolium
Vaccinium scoparium
Vaccinium stamineum
Vaccinium uliginosum
Vaccinium vitis-idaea
Vachellia constricta
Valeriana occidentalis
Vallisneria americana
Veratrum californicum
Veratrum viride
Verbena bracteata
Verbena ×goodmanii
Verbesina encelioides
Vermilacinia cerebra
Vernonia missurica
Vernonia noveboracensis
Veronica americana
Veronica wormskjoldii
Verrucaria submersella
Vetiveria zizanioides
Vezdaea stipitata
Viburnum acerifolium
Viburnum dentatum
Viburnum edule
Viburnum lantana
Viburnum lantanoides
Viburnum lentago
Viburnum nudum
Viburnum obovatum
Viburnum opulus
Viburnum prunifolium
Viburnum rafinesqueanum
Viburnum recognitum
Vicia americana
Vicia benghalensis
Vicia cracca
Vicia grandiflora
Vicia lutea
Vicia sativa
Vicia villosa
Vigna radiata
Vigna unguiculata
Vinca minor
Viola macloskeyi
Viola pubescens
Viola purpurea
Viola sororia
Vitex divaricata
Vitis aestivalis
Vitis cinerea
Vitis mustangensis
Vitis palmata
Vitis riparia
Vitis rotundifolia
Vitis shuttleworthii
Vitis vulpina
Vulpia myuros
Wallenia lamarckiana
Weinmannia pinnata
Wikstroemia oahuensis
Wikstroemia uva-ursi
Wisteria frutescens
Wyethia amplexicaulis
Wyethia mollis
Xerophyllum tenax
Xiphidium caeruleum
Xyris baldwiniana
Yucca aloifolia
Yucca baccata
Yucca baileyi
Yucca brevifolia
Yucca elata
Yucca glauca
Zamia pumila
Zannichellia palustris
Zanthoxylum kauaense
Zea mays
Zelkova serrata
Zenobia pulverulenta
Zephyranthes atamasca
Zephyranthes treatiae
Zigadenus paniculatus
Zizania aquatica
Zizaniopsis miliacea
Zoysia japonica
Zoysia matrella
Zygodon viridissimus
×Hesperotropsis leylandii
