name	lsid	uses	sources	family	page
Ephedra przewalskii Stapf	383449-1	EU ME	[4, 9]	Ephedraceae	13
Ephedra sinica Stapf	383460-1	ME PO	[1, 3, 4]	Ephedraceae	13
Ephedra torreyana S.Watson	30155955-2	ME	[3, 4]	Ephedraceae	13
Ephedra triandra Tul.	383468-1	ME	[4]	Ephedraceae	13
Ephedra trifurca Torr. ex S.Watson	383471-1	ME	[3, 4]	Ephedraceae	13
Ephedra tweedieana C.A.Mey.	383472-1	ME	[4]	Ephedraceae	13
Ephedra viridis Coville	91144-2	EU ME	[3, 4]		14
Gnetum africanum Welw.	383499-1	GS HF MA ME	[1, 3, 4, 8, 11]	Gnetaceae	14
Gnetum buchholzianum Engl.	383505-1	GS HF MA ME	[3, 4, 8, 11]	Gnetaceae	14
Gnetum costatum K.Schum.	383510-1	ME	[4, 5]	Gnetaceae	14
Gnetum cuspidatum Blume	383512-1	ME	[4, 7]	Gnetaceae	14
Gnetum edule (Willd.) Blume	383515-1	MA ME PO	[4]	Gnetaceae	14
Gnetum gnemon L.	383520-1	AF FU HF IF MA ME PO SU	[1, 3, 4, 5, 7]	Gnetaceae	14
Gnetum gnemonoides Brongn.	383521-1	HF MA ME PO	[4, 5, 7]	Gnetaceae	14
Gnetum latifolium Blume	383530-1	HF MA ME	[4, 5, 7]	Gnetaceae	14
Gnetum luofuense C.Y.Cheng	383537-1	ME	[4]	Gnetaceae	14
Gnetum macrostachyum Hook.f.	383540-1	MA ME	[1, 4]	Gnetaceae	14
Gnetum microcarpum Blume	383542-1	MA ME	[4]	Gnetaceae	14
Gnetum montanum Markgr.	383546-1	HF MA ME	[3, 4]	Gnetaceae	14
Gnetum neglectum Blume	383547-1	MA	[1, 7]	Gnetaceae	14
Gnetum parvifolium (Warb.) W.C.Cheng	383557-1	ME	[4]	Gnetaceae	14
Gnetum tenuifolium Ridl.	383572-1	HF ME	[4, 7]	Gnetaceae	14
Welwitschia mirabilis Hook.f.	383591-1	AF EU GS HF ME	[4, 9]	Welwitschiaceae	14
Acorus calamus L.	84009-1	EU GS HF IF MA ME PO SU	[1, 3, 4, 5, 7, 8,	Acoraceae	14
Acorus gramineus Aiton	84019-1	EU ME	[3, 4, 7]	Acoraceae	14
Albidella oligococca (F.Muell.) Lehtonen	77163628-1	ME	[4]	Alismataceae	14
Alisma canaliculatum A.Braun & C.D.Bouché	327944-2	ME	[4]	Alismataceae	14
Alisma lanceolatum With.	1047073-2	ME	[4]	Alismataceae	14
Alisma plantago-aquatica L.	30019518-2	HF MA ME	[1, 3, 4]	Alismataceae	14
Alisma subcordatum Raf.	8509-2	ME	[4]	Alismataceae	14
Aquarius cordifolius (L.) Christenh. & Byng	77182733-1	EU		Alismataceae	14
Aquarius floribundus (Seub.) Christenh. & Byng	77183476-1	ME	[4]	Alismataceae	14
Byng	77182824-1	EU ME	[4]	Alismataceae	14
Aquarius grisebachii (Small) Christenh. & Byng	77183004-1	EU		Byng	14
Aquarius horizontalis (Rataj) Christenh. & Byng	77183523-1	EU		Byng	14
Aquarius macrophyllus (Kunth) Christenh. & Byng	77183178-1	EU ME	[4]	Byng	14
Aquarius paniculatus (Micheli) Christenh. & Byng	77182731-1	ME	[4]	Byng	14
Aquarius uruguayensis (Arechav.) Christenh. & Byng	77182561-1	EU		Byng	14
Burnatia enneandra Micheli	58280-1	HF	[11]	Byng	14
Butomopsis latifolia (D.Don) Kunth	58284-1	ME	[4]	Byng	14
Caldesia parnassifolia (Bassi) Parl.	58293-1	HF ME	[4, 5, 11]	Byng	14
Echinodorus berteroi (Spreng.) Fassett	88149-2	EU	[3]	Byng	14
Helanthium bolivianum (Rusby) Lehtonen & Myllys	77089409-1	EU	[3]	Byng	14
Helanthium tenellum (Mart. ex Schult.f.) J.G.Sm.	118649-2	EU	[3]	Byng	14
Buchenau	58399-1	ME	[4]	Byng	14
Limnocharis flava (L.) Buchenau	58404-1	AF EU HF	[3, 7]	Buchenau	14
Limnophyton angolense Buchenau	58413-1	ME	[4]	Buchenau	14
Limnophyton obtusifolium (L.) Miq.	58415-1	HF MA ME	[4, 8, 10, 11]	Buchenau	14
Sagittaria cuneata E.Sheld.	225232-2	ME	[4]	Buchenau	14
Sagittaria guayanensis Kunth	58497-1	EU GS HF ME	[4, 7, 8, 11]		15
Sagittaria lancifolia L.	58516-1	ME	[4]		15
Sagittaria latifolia Willd.	225280-2	EU ME	[3, 4]		15
Sagittaria macrophylla Zucc.	58524-1	HF	[3]		15
Sagittaria montevidensis Cham. & Schltdl.	58531-1	ME	[4]		15
Sagittaria pygmaea Miq.	58559-1	ME	[4]		15
Sagittaria rhombifolia Cham.	58564-1	ME	[4]		15
Sagittaria sagittifolia L.	30074004-2	AF HF ME	[4, 7]		15
Sagittaria trifolia L.	58596-1	HF ME	[3, 4]		15
Aponogeton crispus Thunb.	602844-1	ME	[1, 4]	Aponogetonaceae	15
Aponogeton desertorum Zeyh. ex Spreng.	82943-1	EU HF	[3, 9]	Aponogetonaceae	15
Aponogeton distachyos L.f.	60445154-2	EU HF ME	[3, 4]	Aponogetonaceae	15
Aponogeton madagascariensis (Mirb.) H.Bruggen	82957-1	EU HF	[3]	Aponogetonaceae	15
Aponogeton natans (L.) Engl. & K.Krause	82958-1	HF ME	[4, 9]	Aponogetonaceae	15
Aponogeton rehmannii Oliv.	602876-1	AF HF	[9]	Aponogetonaceae	15
Aponogeton subconjugatus Schumach. & Thonn.	82968-1	HF	[11]	Aponogetonaceae	15
Aglaonema commutatum Schott	84050-1	EU ME	[3, 4, 7]	Araceae	15
Aglaonema costatum N.E.Br.	84052-1	EU ME	[3, 4, 7]	Araceae	15
Aglaonema modestum Schott ex Engl.	84081-1	EU ME	[3, 4]	Araceae	15
Aglaonema nitidum (Jack) Kunth	84086-1	ME	[4, 7]	Araceae	15
Aglaonema pictum (Roxb.) Kunth	84094-1	EU HF ME	[4, 7]	Araceae	15
Aglaonema robeleynii (Van Geert) Pitcher & Manda	77177136-1	EU		Araceae	15
Aglaonema simplex (Blume) Blume	84107-1	ME	[4, 7]	Araceae	15
Alocasia aequiloba N.E.Br.	84122-1	IF ME SU	[4, 5]	Araceae	15
Alocasia alba Schott	84123-1	EU	[3]	Araceae	15
Alocasia atropurpurea Engl.	84129-1	GS	[3]	Araceae	15
Alocasia beccarii Engl.	84134-1	ME	[4]	Araceae	15
Alocasia brancifolia (Schott) A.Hay	962406-1	ME	[4, 5]	Araceae	15
Alocasia brisbanensis (F.M.Bailey) Domin	84136-1	ME	[4]	Araceae	15
Alocasia cucullata (Lour.) G.Don	84151-1	EU HF ME	[3, 4, 5, 7]	Araceae	15
Alocasia cuprea K.Koch	84153-1	EU	[3]	Araceae	15
Alocasia fornicata (Kunth) Schott	84168-1	ME	[4]	Araceae	15
Alocasia hollrungii Engl.	84180-1	AF HF MA SU	[5]	Araceae	15
Alocasia lancifolia Engl.	84188-1	IF	[5]	Araceae	15
Alocasia lauterbachiana (Engl.) A.Hay	962407-1	ME	[4, 5]	Araceae	15
Alocasia longiloba Miq.	84195-1	EU ME PO	[3, 4, 5, 7]	Araceae	15
Alocasia macrorrhizos (L.) G.Don	60444565-2	AF EU GS HF MA ME PO SU	[1, 3, 4, 5,	Araceae	15
Alocasia micholitziana Sander	84208-1	EU GS	[3]	Araceae	15
Alocasia nicolsonii A.Hay	959172-1	AF ME SU	[4, 5]	Araceae	15
Alocasia odora (G.Lodd.) Spach	60469948-2	EU GS	[3]	Araceae	15
Alocasia portei Schott	77177330-1	EU ME PO	[4, 5, 7]	Araceae	15
Alocasia robusta M.Hotta	84238-1	GS	[3]	Araceae	15
Alocasia sanderiana W.Bull	84242-1	EU ME	[3, 4]	Araceae	15
Amorphophallus abyssinicus (A.Rich.) N.E.Br.	84291-1	HF ME	[3, 4, 11]	Araceae	15
Amorphophallus albus P.Y.Liu & J.F.Chen	972136-1	ME	[4]	Araceae	15
Amorphophallus aphyllus (Hook.) Hutch.	84298-1	EU HF ME PO	[4, 11]	Araceae	15
Amorphophallus bulbifer (Roxb.) Blume	84310-1	ME	[4]	Araceae	15
Amorphophallus commutatus (Schott) Engl.	84322-1	ME	[4]	Araceae	15
Amorphophallus dracontioides (Engl.) N.E.Br.	84333-1	MA ME PO SU	[4, 11]	Araceae	15
Amorphophallus galbra F.M.Bailey	84350-1	ME SU	[4, 5]	Araceae	15
Amorphophallus johnsonii N.E.Br.	84372-1	ME	[4, 11]	Araceae	15
Amorphophallus konjac K.Koch	84377-1	EU HF ME	[1, 3, 4, 7]	Araceae	15
Amorphophallus margaritifer (Roxb.) Kunth	84399-1	ME	[4]	Araceae	15
Amorphophallus maximus (Engl.) N.E.Br.	84400-1	ME	[4]	Araceae	15
Amorphophallus napalensis (Wall.) Bogner & Mayo	969029-1	ME	[4]	Araceae	15
Amorphophallus paeoniifolius (Dennst.) Nicolson	60444138-2	AF GS HF ME PO SU	[1, 3, 4, 5, 7, 8]	Araceae	15
Amorphophallus prainii Hook.f.	84426-1	ME PO	[4, 7]	Araceae	15
Amorphophallus smithsonianus Sivadasan	936755-1	ME	[4]	Araceae	15
Amorphophallus sylvaticus (Roxb.) Kunth	84452-1	ME	[1, 4]	Araceae	15
Amorphophallus titanum (Becc.) Becc.	84456-1	EU	[3, 7]	Araceae	15
Amorphophallus variabilis Blume	84460-1	AF HF ME	[4, 7]	Araceae	15
Amydrium humile Schott	84473-1	ME	[4]		16
Amydrium sinense (Engl.) H.Li	84476-1	ME	[4]		16
Amydrium zippelianum (Schott) Nicolson	84477-1	EU ME	[3, 4, 5]		16
